"Estación","Título","latitud","longitud","Fecha","Periodo","SO2","NO","NO2","CO","PM10","O3","dd","vv","TMP","HR","PRB","RS","LL","BEN","TOL","MXIL","PM25"
1,"Estación Avenida Constitución",43.529806,-5.673428,"2020-12-10",12,3,16,49,NA,68,25,292,0.11,14.6,93,1012,99,0,0.36,1.66,4.53,15
1,"Estación Avenida Constitución",43.529806,-5.673428,"2020-12-10",11,1,11,33,NA,49,45,300,0.19,14.2,93,1012,110,0,0.39,0.9,3.21,15
1,"Estación Avenida Constitución",43.529806,-5.673428,"2020-12-10",10,2,7,27,NA,49,55,320,0.39,13.9,92,1011,90,0,0.2,0.53,2.37,15
1,"Estación Avenida Constitución",43.529806,-5.673428,"2020-12-10",9,2,8,31,NA,54,49,314,0.33,13.6,94,1011,62,0,0.17,0.3,1.55,8
1,"Estación Avenida Constitución",43.529806,-5.673428,"2020-12-10",8,1,12,37,NA,26,45,326,0.27,13.3,94,1011,53,0,0.44,0.51,1.71,7
1,"Estación Avenida Constitución",43.529806,-5.673428,"2020-12-10",7,3,10,32,NA,37,47,271,0.29,14.5,80,1010,53,0,0.21,0.26,1.2,16
1,"Estación Avenida Constitución",43.529806,-5.673428,"2020-12-10",6,1,2,18,NA,24,61,225,0.27,13.9,86,1009,53,0,0.29,0.22,1.06,8
1,"Estación Avenida Constitución",43.529806,-5.673428,"2020-12-10",5,1,1,10,NA,14,69,225,0.27,13,97,1009,53,0,0.62,0.22,1.22,7
1,"Estación Avenida Constitución",43.529806,-5.673428,"2020-12-10",4,1,1,10,NA,35,72,258,0.42,13.2,96,1009,53,0.2,0.48,0.22,1.24,5
1,"Estación Avenida Constitución",43.529806,-5.673428,"2020-12-10",3,1,1,10,NA,30,70,260,0.48,13.9,96,1009,53,0.2,0.53,0.22,1.32,6
1,"Estación Avenida Constitución",43.529806,-5.673428,"2020-12-10",2,1,1,12,NA,25,65,277,0.68,14.2,97,1009,53,0.4,0.17,0.22,1.91,8
1,"Estación Avenida Constitución",43.529806,-5.673428,"2020-12-10",1,1,1,4,NA,10,66,215,0.41,14.7,89,1008,53,0.2,0.13,0.22,1.1,7
1,"Estación Avenida Constitución",43.529806,-5.673428,"2020-12-09",24,1,1,4,NA,12,70,188,0.79,14.2,93,1008,53,0.2,0.15,0.31,2.03,5
1,"Estación Avenida Constitución",43.529806,-5.673428,"2020-12-09",23,1,1,11,NA,12,58,184,0.27,12.5,97,1009,53,0.8,0.2,1.52,3.45,5
1,"Estación Avenida Constitución",43.529806,-5.673428,"2020-12-09",22,1,1,14,NA,17,56,174,0.24,12.5,91,1009,53,0.6,0.32,1.2,3.28,8
1,"Estación Avenida Constitución",43.529806,-5.673428,"2020-12-09",21,1,2,22,NA,14,50,183,0.27,12.9,80,1010,53,0.2,0.39,1.48,3.77,10
1,"Estación Avenida Constitución",43.529806,-5.673428,"2020-12-09",20,1,5,32,NA,17,40,190,0.26,12.4,73,1011,53,0,0.59,2.06,5.55,12
1,"Estación Avenida Constitución",43.529806,-5.673428,"2020-12-09",19,2,25,55,NA,26,18,229,0.13,11.2,77,1012,53,0,0.76,2.48,4.92,12
1,"Estación Avenida Constitución",43.529806,-5.673428,"2020-12-09",18,1,14,48,NA,17,27,166,0.11,10.9,74,1013,53,0,0.52,2.34,5.03,7
1,"Estación Avenida Constitución",43.529806,-5.673428,"2020-12-09",17,1,11,53,NA,28,20,152,0.18,11.2,74,1015,53,0.2,0.66,4.43,11.26,6
1,"Estación Avenida Constitución",43.529806,-5.673428,"2020-12-09",16,1,11,51,NA,30,22,156,0.1,12.2,64,1016,53,0,0.6,2.46,7.99,7
1,"Estación Avenida Constitución",43.529806,-5.673428,"2020-12-09",15,2,16,48,NA,30,29,183,0.11,12.8,60,1016,93,0,0.68,2.18,9.58,24
1,"Estación Avenida Constitución",43.529806,-5.673428,"2020-12-09",9,3,13,41,NA,NA,18,192,0.1,8.2,87,1018,57,0,0.26,0.56,0.75,NA
